RECORD_TIME,R1_AVG_VALUE,R2_AVG_VALUE,R3_AVG_VALUE,H_WIND_AMOUNT,H_COLD_PRESS,H_UPRESS,H_PRESS_DIFF,H_TQXZS,H_ACT_FS,H_GDFN,S,T,¦Î
2024-03-01 01:00:00,250.3,128.93,68.4,6064.73,430.92,245.17,174.62,34.79,274.79,15747.98,0.206,409.9,0.029
2024-03-01 00:00:00,233.75,120.98,67.77,6051.18,432.94,245.56,176.52,34.26,272.84,15470.45,0.252,403,0.037
2024-02-29 23:00:00,241.84,125.92,70.47,6039.82,433.42,245.24,177.33,34.08,271.08,15246.26,0.181,506.1,0.037
2024-02-29 22:00:00,248.71,124.25,67.51,6027.1,435.39,245.44,179.06,33.7,268.7,14961.98,0.256,409.3,0.05
2024-02-29 21:00:00,254.37,148.01,75.78,6060.52,437.4,245.46,181.28,33.45,268.56,15024.32,0.166,497.3,0.044
2024-02-29 20:00:00,239.8,143.51,71.75,6049.7,437.87,245.23,181.96,33.28,267.6,14887.7,0.233,472.7,0.029
2024-02-29 19:00:00,242.75,145.43,72.34,6022.63,435.47,245.61,178.94,33.62,268.67,14938.11,0.196,469.8,0.03
2024-02-29 18:00:00,235.38,138.68,68.68,6022.88,434.38,245.38,178.28,33.84,269.71,15053.98,0.179,435.4,0.025
2024-02-29 17:00:00,228.34,118.91,64.87,6021.67,434.65,245.25,178.62,33.77,268.77,14952.87,0.241,492.2,0.033
2024-02-29 16:00:00,236.33,116.17,65.63,6046.09,435.89,245.14,179.77,33.7,269.75,15126.19,0.221,422.7,0.031
2024-02-29 15:00:00,234.07,108.39,64.21,6088.11,432.71,245.57,176.11,34.57,273.73,15664.63,0.169,489.4,0.044
2024-02-29 14:00:00,252.36,111.34,66.29,6058.86,434.23,245.31,178.15,34.02,269.38,15110.73,0.185,410.4,0.052
2024-02-29 13:00:00,247.37,107.88,66.69,6014.5,432.86,245.45,176.47,34,269.98,15065.99,0.164,483.3,0.039
2024-02-29 12:00:00,228.34,100.77,62.81,6003.72,431.64,245.32,175.76,34.22,269.19,14951.63,0.221,499,0.048
2024-02-29 11:00:00,218.7,97.34,59.67,5912.12,433.46,245.21,178.47,33.17,259.02,13646.26,0.161,405,0.042
2024-02-29 10:00:00,292.88,132.02,72.49,5901.7,435.18,245.21,179.96,32.85,261.4,13877.2,0.241,451,0.026
2024-02-29 09:00:00,299.14,140.58,76.03,5976.85,432.84,245.29,177.32,33.71,266.16,14556.48,0.222,391.6,0.035
2024-02-29 08:00:00,260.02,115.07,67.75,5941.34,435.01,245.53,179.38,33.05,262.74,14084.82,0.167,509.6,0.036
2024-02-29 07:00:00,246.63,104.81,63.25,5957.44,436.15,245.22,180.45,33.03,265.62,14430.61,0.189,424.8,0.037
2024-02-29 06:00:00,238.3,101.09,62.39,5979.92,434.14,245.38,178.31,33.49,268.4,14790.02,0.231,497.8,0.046
2024-02-29 05:00:00,254.27,107.55,62.11,6027.65,433.65,245.36,177.65,34.01,270.38,15157.34,0.222,477.5,0.029
2024-02-29 04:00:00,246.94,108.57,63.68,6007.26,432.36,245.5,176.1,34.07,270.07,15064.41,0.191,452.4,0.041
2024-02-29 03:00:00,230.12,99.52,60.01,5988.96,433.56,245.27,177.75,33.75,269.97,14994.57,0.248,475,0.033
2024-02-29 02:00:00,246.81,111.71,65.87,5972.69,434.21,245.3,178.36,33.49,267.78,14713.4,0.163,444.5,0.052
2024-02-29 01:00:00,249.83,113.07,66.1,6003.89,436.08,245.54,179.98,33.37,266.7,14676.83,0.175,473.5,0.042
2024-02-29 00:00:00,253.91,113.35,64.91,6019.97,432.89,245.33,176.9,34.06,271.55,15258.37,0.26,509.6,0.037
2024-02-28 23:00:00,290.87,127.81,68.31,6016.4,433.06,245.53,176.86,34.02,270.03,15070.23,0.228,400.8,0.05
2024-02-28 22:00:00,244.46,114.54,67.94,6020.87,432.18,245.37,175.92,34.2,271.14,15212.66,0.209,486.2,0.045
2024-02-28 21:00:00,235.27,104.71,65,6045.28,433.41,245.3,177.48,34.13,270.25,15168.15,0.185,393.7,0.043
2024-02-28 20:00:00,282.22,128.24,73.52,6058.41,433.49,245.43,177.28,34.15,271.76,15367.02,0.169,497.5,0.05
2024-02-28 19:00:00,259.98,118.58,69.89,6049.06,432,245.32,175.75,34.49,272.13,15397.12,0.23,391.9,0.031
2024-02-28 18:00:00,261.72,118.28,69.45,6075.49,433.48,245.47,177.2,34.24,272.42,15492.08,0.173,451.3,0.053
2024-02-28 17:00:00,237.73,106.32,65.73,6078.68,432.39,245.23,176.23,34.52,273.52,15635.45,0.192,394.9,0.037
2024-02-28 16:00:00,249.64,109.03,67.43,6049.64,431.62,245.43,175.3,34.52,271.85,15358.07,0.206,501.2,0.048
2024-02-28 15:00:00,264.84,115.24,69.32,6013.18,433.52,245.13,177.83,33.86,269.01,14956.03,0.19,442.3,0.039
2024-02-28 14:00:00,272.62,118.39,70.96,5989.87,435.35,245.14,179.76,33.36,266.96,14671.13,0.194,479.9,0.027
2024-02-28 13:00:00,272.07,125.91,72.67,6049.54,435.98,245.48,179.73,33.7,269.08,15077.18,0.231,414.5,0.027
2024-02-28 12:00:00,268.85,115.8,69.57,6047.97,435.73,245.28,179.8,33.66,269.56,15099.74,0.224,508.9,0.051
2024-02-28 11:00:00,265.28,121.46,68.8,6036.5,434.98,245.32,178.92,33.77,269.05,15023.82,0.236,399.8,0.052
2024-02-28 10:00:00,249.18,107.32,64.53,6024.1,433.48,244.98,177.66,34,269.56,15039.37,0.162,502.3,0.042
2024-02-28 09:00:00,273.27,118.96,66.81,6032.34,430.14,245.31,173.9,34.72,273.34,15495.52,0.199,411.2,0.04
2024-02-28 08:00:00,230.32,101.18,61.58,6031.2,432.55,245.32,176.41,34.21,270.53,15158.37,0.21,413.7,0.028
2024-02-28 07:00:00,246.24,107.28,66.46,6005.19,435.85,245.4,179.78,33.44,267.2,14728.98,0.201,467,0.05
2024-02-28 06:00:00,249.72,112.43,67.93,6008.61,436.12,245.36,180.19,33.38,267.64,14775.24,0.237,500.2,0.027
2024-02-28 05:00:00,276.05,121.55,72.7,6011.24,433.9,245.4,177.85,33.78,268.94,14936.43,0.165,503.1,0.046
2024-02-28 04:00:00,267.03,127.19,72.52,6003.38,433.07,245.27,177.06,33.96,268.52,14887.81,0.22,488.3,0.038
2024-02-28 03:00:00,240.46,113.4,69.18,6006.95,435.89,245.45,179.83,33.37,267.69,14785.78,0.254,498.3,0.04
2024-02-28 02:00:00,254.58,116.25,70.49,6008.4,435.68,245.27,179.83,33.45,267.65,14787.95,0.22,412.6,0.046
2024-02-28 01:00:00,236.27,112.14,68.13,6005.85,434.88,245.57,178.49,33.67,268.31,14866.63,0.236,404.5,0.05
2024-02-28 00:00:00,247.08,117.87,71.35,5972.51,432.58,245.34,176.85,33.81,267.02,14633.79,0.204,393.6,0.036
2024-02-27 23:00:00,285.82,121.42,73.12,5920.32,433.5,245.16,178.38,33.26,261.75,13945.7,0.198,432,0.049
2024-02-27 22:00:00,280.37,125.73,75.17,5975.66,435.34,245.32,179.65,33.27,263.19,14223.38,0.193,466.6,0.044
2024-02-27 21:00:00,274.11,116.57,69.1,6033.37,436.1,245.16,180.43,33.5,267.25,14809.16,0.229,403.9,0.043
2024-02-27 20:00:00,299.36,129.03,72.44,6027.59,434.21,245.6,177.82,33.88,270.47,15156.14,0.227,441.5,0.028
2024-02-27 19:00:00,284.36,115.06,69.22,6010.19,431.45,245.28,175.14,34.36,271.75,15250.69,0.243,486.6,0.028
2024-02-27 18:00:00,243.4,109.47,67.6,5991.32,433.44,245.2,177.82,33.75,267.67,14757.47,0.167,465.2,0.032
2024-02-27 17:00:00,300.89,125.56,75.28,5983.77,435.92,245.36,180.08,33.25,265.65,14510.41,0.193,506.5,0.036
2024-02-27 16:00:00,247.86,111.13,69.36,6001.14,433.59,245.21,177.44,33.86,268.99,14927.3,0.251,509,0.047
2024-02-27 15:00:00,259.16,109.31,68.02,6011.22,435.06,245.39,179.15,33.57,267.42,14764.71,0.219,452.8,0.047
2024-02-27 14:00:00,287.86,128.56,72.43,5998.55,433.7,245.29,177.75,33.76,268.89,14906.66,0.224,493.5,0.028
2024-02-27 13:00:00,310.29,134.83,75.43,5967.02,433.72,245.54,177.61,33.66,266.89,14611.5,0.207,403.1,0.04
2024-02-27 12:00:00,281.97,120.98,72.29,5984.72,432.79,245.3,176.97,33.85,269.38,14919.17,0.234,480.5,0.048
2024-02-27 11:00:00,283.52,128.44,73.08,5996.98,434.95,245.39,179.01,33.49,267.26,14717.41,0.244,394.4,0.03
2024-02-27 10:00:00,282.58,119.73,70.59,6002.67,432.6,245.43,176.43,34.1,269.17,14953.44,0.197,481.2,0.044
2024-02-27 09:00:00,288.28,119.34,68.82,6016.39,433.29,245.05,177.53,34.01,269.98,15063.3,0.224,434.5,0.034
2024-02-27 08:00:00,235.49,113.97,66.81,6031.49,431.14,245.41,174.87,34.53,272.45,15371.35,0.206,408.7,0.045
2024-02-27 07:00:00,266.25,119.04,68.97,6011.52,431.07,245.39,174.75,34.5,270.81,15153.69,0.216,445.1,0.04
2024-02-27 06:00:00,273.79,123.74,73.63,6025.81,436.04,245.32,180.07,33.5,269.12,14998.59,0.231,445.3,0.052
2024-02-27 05:00:00,250.57,113.27,69.4,6037.01,434.41,245.32,178.5,33.84,268.32,14943.77,0.201,497.1,0.032
2024-02-27 04:00:00,261.97,123.57,73.03,6023.62,434.04,245.29,177.8,33.86,269.4,15019.47,0.204,488.1,0.037
2024-02-27 03:00:00,267.36,119.19,71.15,6017.6,432.87,245.29,176.97,34.03,270.16,15092.54,0.189,393.9,0.042
2024-02-27 02:00:00,216.61,100.73,64.77,6057.88,435.85,245.13,179.94,33.67,269.8,15137.29,0.249,481.5,0.037
2024-02-27 01:00:00,260.07,114.6,69.23,6035.79,435.52,245.41,179.15,33.64,270.36,15157.62,0.163,408.1,0.047
2024-02-27 00:00:00,245.73,109.27,65.37,6001.48,430.11,245.26,174.19,34.44,271.22,15167.44,0.185,478.3,0.052
2024-02-26 23:00:00,251.86,117.84,68.08,6003.98,434.11,245.41,178.19,33.76,268.26,14847.21,0.167,406.5,0.041
2024-02-26 22:00:00,261.86,119.24,69.61,6013.21,433.9,245.32,177.73,33.82,269.85,15041.75,0.214,508.5,0.037
2024-02-26 21:00:00,269.63,125.45,72.23,6006.6,434.35,245.47,178.36,33.71,268.49,14878.39,0.174,442.2,0.053
2024-02-26 20:00:00,248.59,108.46,65.69,6039.88,434.72,245.38,178.52,33.85,270.33,15172.94,0.25,481.9,0.041
2024-02-26 19:00:00,277.39,131.91,71.55,6028.58,432.36,245.13,176.44,34.25,271.22,15244.7,0.172,437.8,0.048
2024-02-26 18:00:00,245.86,112.77,68.16,6029.69,435.76,245.48,179.79,33.51,266.93,14754.13,0.216,507.3,0.042
2024-02-26 17:00:00,236.82,113.1,68.98,6023.02,435.17,245.03,179.43,33.61,270.12,15100.95,0.169,424.7,0.039
2024-02-26 16:00:00,241.49,116.24,68.89,6003.37,431.27,245.23,175.24,34.31,271.18,15181.16,0.186,440.9,0.042
2024-02-26 15:00:00,230.92,116.26,68.88,6024.18,432.82,245.47,176.58,34.14,270.91,15215.54,0.21,432.7,0.033
2024-02-26 14:00:00,232.79,116.56,71.72,6049.05,430.24,245.18,174.2,34.79,273.65,15571.56,0.209,458.8,0.042
2024-02-26 13:00:00,239.28,125.06,72.05,6037.04,428.44,245.48,171.86,35.15,274.32,15626.71,0.202,424.8,0.032
2024-02-26 12:00:00,217.91,104.87,65.17,6040.32,430.96,245.27,174.82,34.59,272.71,15419.79,0.171,491.9,0.025
2024-02-26 11:00:00,219.48,109.68,65.79,6039.8,430.92,245.39,174.71,34.62,271.99,15362.77,0.229,492,0.032
2024-02-26 10:00:00,207.81,107.33,63.6,6036.4,431.91,245.33,175.78,34.34,269.41,15041.94,0.169,405.5,0.047
2024-02-26 09:00:00,213.46,108.2,65.14,6035.43,433.96,245.39,177.83,33.92,269.46,15054.03,0.2,469.9,0.04
2024-02-26 08:00:00,129.18,130.62,74.57,6036.28,432.44,245.31,176.4,34.27,271.03,15247.92,0.178,422.8,0.032
2024-02-26 07:00:00,104.62,118.5,72.74,6030.38,433.65,245.4,177.3,34.05,271.18,15241.74,0.237,426.7,0.047
2024-02-26 06:00:00,94.23,108.94,67.75,6052.41,431.07,245.21,174.97,34.69,272.54,15447.24,0.243,414.5,0.046
2024-02-26 05:00:00,89.6,104.02,66.44,6043.8,433.63,245.26,177.55,34.05,271.12,15249.28,0.185,491.2,0.037
2024-02-26 04:00:00,105.19,109.14,68.53,6026.61,434.69,245.36,178.46,33.79,269.52,15048.02,0.204,473,0.052
2024-02-26 03:00:00,97.87,101.71,67.23,6033.26,435.38,245.48,179.27,33.68,268.67,14964.78,0.174,456.4,0.046
2024-02-26 02:00:00,102.36,110.97,66.21,6036.74,435.86,245.58,179.68,33.61,267.87,14886.04,0.244,419.3,0.04
2024-02-26 01:00:00,117,108.77,65.75,6017.26,434.03,245.13,178.39,33.83,266.3,14676.32,0.171,431.8,0.041
2024-02-26 00:00:00,127.76,123.74,70.54,6059.58,433.49,245.51,177.13,34.19,271.88,15375.23,0.23,392.5,0.046
2024-02-25 23:00:00,115.32,112.64,67.82,6062.64,431.32,245.28,175.09,34.62,273.27,15558.97,0.183,438.5,0.032
2024-02-25 22:00:00,119.64,104.55,65.72,6051.66,431.44,245.45,174.95,34.59,272.7,15456.51,0.238,444.2,0.039
2024-02-25 21:00:00,125.79,114.18,67.83,6044.87,436.76,245.46,180.58,33.48,270.14,15147.8,0.256,442,0.048
2024-02-25 20:00:00,141.78,115.84,66,6036.83,435.22,245.16,179.31,33.78,270.26,15159.49,0.196,430.4,0.041
2024-02-25 19:00:00,130.12,115.19,64.62,6039.65,433.37,245.46,176.91,34.17,271.45,15287.77,0.227,507.6,0.03
2024-02-25 18:00:00,139.02,112.79,63.84,6049.91,433.27,245.56,176.96,34.22,271.23,15280.7,0.258,476.6,0.034
2024-02-25 17:00:00,143.42,111.54,65.41,6051.25,436.55,245.63,180.18,33.6,269.98,15179.84,0.166,436,0.042
2024-02-25 16:00:00,134.55,105.77,65.33,6043.53,434.19,245.23,178.16,33.97,269.42,15070.12,0.239,459.2,0.051
2024-02-25 15:00:00,156.4,122.52,70.94,6094.86,435.91,245.31,179.67,33.98,271.93,15480.74,0.199,485.6,0.038
2024-02-25 14:00:00,167.39,132.01,72.87,6092.54,434.7,245.44,178.31,34.24,272.6,15556.93,0.192,465.9,0.044
2024-02-25 13:00:00,156.37,130.25,70.96,6093,432.79,245.58,176.04,34.64,273.64,15683.98,0.21,470.9,0.031
2024-02-25 12:00:00,162.88,113.82,67.21,6037.29,432.75,245.19,176.79,34.2,270.33,15157.21,0.257,508.2,0.032
2024-02-25 11:00:00,159.93,114.62,68.84,6006.98,436.21,245.34,180.36,33.37,266.09,14624.46,0.208,417.5,0.032
2024-02-25 10:00:00,173.64,122.06,70.76,6033.05,435.92,245.34,179.72,33.6,268.5,14953.61,0.208,432.7,0.039
2024-02-25 09:00:00,157.98,116.02,67.36,6051.94,433.67,245.37,177.47,34.15,271.21,15290.32,0.182,485.3,0.025
2024-02-25 08:00:00,156.25,118.78,66.9,6052.46,434.82,245.34,178.68,33.98,270.16,15180.33,0.195,414.6,0.03
2024-02-25 07:00:00,163.55,137.27,73.71,6029.68,436.02,245.43,179.71,33.53,268.55,14932.9,0.213,489.1,0.052
2024-02-25 06:00:00,150.6,114.06,66.92,6046.21,435.81,245.7,179.47,33.73,269.32,15071.36,0.209,482.9,0.04
2024-02-25 05:00:00,153.27,118.22,68.9,6040.93,436.29,245.44,180.09,33.56,269.07,15011.38,0.233,494,0.031
2024-02-25 04:00:00,170.09,130.23,72.39,6036,433.99,245.5,177.58,34.01,269.53,15058.36,0.175,482.7,0.025
2024-02-25 03:00:00,166.08,126.4,71.94,6051.87,434.38,245.37,178.23,34.01,270.28,15187.13,0.242,487.3,0.025
2024-02-25 02:00:00,162.86,140.44,76.71,6025.99,433.76,245.28,177.82,33.96,269.18,15011.62,0.214,491.4,0.045
2024-02-25 01:00:00,163.71,111.4,65.55,6018.75,434.42,245.38,178.18,33.82,269.95,15086.78,0.24,501.9,0.029
2024-02-25 00:00:00,179.65,121.56,68.55,6059.39,435.21,245.04,179.23,33.83,271.36,15336.05,0.196,477.5,0.043
2024-02-24 23:00:00,194.89,129.66,71.62,6051.84,435.17,245.35,179.05,33.85,269.84,15145.41,0.241,471.9,0.027
2024-02-24 22:00:00,186.97,120.91,71.97,6036.84,434.85,245.27,178.67,33.8,270.22,15150.25,0.245,497.1,0.052
2024-02-24 21:00:00,190.44,127.32,72.16,6002.26,432.66,245.47,176.69,33.95,267.83,14788.97,0.171,505.3,0.027
2024-02-24 20:00:00,195.26,125.72,69.86,5986.89,435.23,245.51,179.21,33.41,266.24,14590.45,0.18,443.9,0.041
2024-02-24 19:00:00,208.94,137.09,71.97,6056.47,434.05,245.5,177.52,34.18,271.08,15308.91,0.25,509.8,0.038
2024-02-24 18:00:00,183.6,133.99,71.34,6063.53,430.79,245.21,174.55,34.76,273.71,15618.79,0.193,480.9,0.05
2024-02-24 17:00:00,171.67,112.48,66.76,6049.41,431.62,245.27,175.48,34.44,271.71,15344.75,0.214,420,0.035
2024-02-24 16:00:00,173.28,110.8,66.29,6014.81,432.54,245.3,176.42,34.14,269.78,15040.91,0.169,462.8,0.043
2024-02-24 15:00:00,184.34,116.54,68.54,5998.88,433.89,245.47,177.98,33.68,266.67,14641.07,0.171,502.6,0.047
2024-02-24 14:00:00,208.89,125.2,71.19,5939.24,435.8,245.19,180.8,32.93,259.41,13740.65,0.178,457.8,0.033
2024-02-24 13:00:00,196.27,115.04,66.17,5978.34,435.53,245.42,179.63,33.32,264.43,14362.31,0.189,401.5,0.032
2024-02-24 12:00:00,196.27,119.9,71.46,5978.38,435.2,245.51,179.23,33.37,267.61,14707.51,0.218,416.9,0.025
2024-02-24 11:00:00,204.22,120.11,69.99,6000.07,433.23,245.34,177.31,33.88,267.91,14802.19,0.171,390.9,0.032
2024-02-24 10:00:00,235.07,139.11,75.45,6004.27,434.77,245.12,178.91,33.67,268.03,14820.66,0.232,437.7,0.035
2024-02-24 09:00:00,212.21,123.45,68.95,6028.33,434.72,245.28,178.84,33.74,269.32,15031.79,0.221,467.1,0.028
2024-02-24 08:00:00,223.59,128.36,71.49,6035.04,437.07,244.97,181.5,33.28,267.5,14832.02,0.173,447.7,0.036
2024-02-24 07:00:00,215.96,120.45,71.1,6042.62,435.6,245.48,179.28,33.73,268.89,15024.3,0.215,444.1,0.04
2024-02-24 06:00:00,223.06,123.37,72.08,6053.02,435.19,245.32,179.11,33.77,269.93,15143.96,0.188,455.5,0.044
2024-02-24 05:00:00,203.43,114.71,69.31,6044.33,434.74,245.16,178.81,33.84,269.56,15087.44,0.208,406.1,0.029
2024-02-24 04:00:00,210.85,115.05,66.97,6014.93,433.98,245.07,178.06,33.84,269.15,14967.67,0.214,422.6,0.025
2024-02-24 03:00:00,226.3,120.66,67.67,6028.72,431.64,245.31,175.65,34.38,270.36,15139.94,0.179,444.3,0.033
2024-02-24 02:00:00,194.38,107.71,65.01,6033.54,432.93,245.38,176.85,34.16,270.59,15182.95,0.179,450.9,0.038
2024-02-24 01:00:00,215.45,115.59,72.51,6033.71,431.36,245.4,175.08,34.55,271.77,15318.7,0.195,448.3,0.031
2024-02-24 00:00:00,263.49,136.18,79.4,6041.28,433.66,245.34,177.69,34.04,270.34,15170.16,0.226,453.7,0.033
2024-02-23 23:00:00,266.43,127.99,76.08,6018.46,432.39,245.42,176.36,34.14,269.73,15041.8,0.205,455.5,0.047
2024-02-23 22:00:00,227.33,120.08,70.8,5938.18,434.36,245.4,178.64,33.2,263.68,14180.55,0.24,457.9,0.034
2024-02-23 21:00:00,254.45,143.99,79.57,5984.81,435.72,245.14,180.41,33.19,264.32,14366.21,0.217,483.4,0.038
2024-02-23 20:00:00,259.42,137.17,78.02,6038.61,435.79,245.44,179.7,33.65,269.44,15078.7,0.188,406.1,0.05
2024-02-23 19:00:00,224.85,120.16,71.58,6029.56,432.68,245.1,176.59,34.14,272.13,15322.91,0.234,508.6,0.031
2024-02-23 18:00:00,224.42,114.15,73.29,5994.63,433.52,245.27,177.72,33.7,268.54,14836.86,0.25,438.7,0.048
2024-02-23 17:00:00,225.54,113.96,70.64,5983.02,435.12,245.28,179.58,33.36,264.18,14345.95,0.236,493.8,0.035
2024-02-23 16:00:00,249.2,122.41,73.99,5995.38,437.89,245.2,182.01,32.96,265.95,14568.66,0.225,469.2,0.046
2024-02-23 15:00:00,244.59,118.14,74.3,5962.06,433.72,245.65,177.71,33.57,266.96,14608.11,0.181,396.5,0.034
2024-02-23 14:00:00,251.51,113.16,70.79,5933.9,436.39,245.17,181.09,32.9,262.84,14090.45,0.182,471.7,0.036
2024-02-23 13:00:00,240.32,109.17,69.79,5957.81,433.54,245.35,177.66,33.56,267.61,14664.71,0.183,496.7,0.036
2024-02-23 12:00:00,249.68,116.68,70.86,6049.17,435.34,245.31,179.23,33.76,271.08,15277.68,0.201,421.4,0.031
2024-02-23 11:00:00,254.05,112.3,69.8,6093.6,435.91,245.19,179.96,33.9,271.01,15385.41,0.165,460.9,0.029
2024-02-23 10:00:00,254.98,113.26,66.57,6062.14,434.32,245.32,178.04,34.07,270.68,15275.09,0.242,445.4,0.031
2024-02-23 09:00:00,247.49,116.15,67.62,6108.17,434.8,245.44,178.45,34.27,272.85,15642.69,0.195,459.6,0.037
2024-02-23 08:00:00,232.53,110.63,67.21,6087.5,432.83,245.45,176.44,34.51,272.47,15530.16,0.243,441.8,0.048
2024-02-23 07:00:00,221.4,108.26,68.48,6026.74,433.79,245.37,177.48,33.96,269.87,15075.38,0.166,442.3,0.042
2024-02-23 06:00:00,199.37,104.22,66.98,6019.49,433.83,245.42,177.79,33.89,268.7,14937.17,0.256,407.2,0.036
2024-02-23 05:00:00,239.7,112.49,70.35,6056.72,434.46,245.41,178.16,34.03,269.34,15109.87,0.246,413.5,0.051
2024-02-23 04:00:00,232.37,110.8,68.54,6090.09,436.4,245.48,179.83,33.89,270.64,15348.89,0.165,391.6,0.037
2024-02-23 03:00:00,241.78,108.55,69.43,6096.9,435.36,245.21,179.12,34.06,271.79,15478.24,0.255,404,0.051
2024-02-23 02:00:00,213.53,96.58,65.92,6082.72,432.88,245.24,176.67,34.5,272.88,15568.07,0.246,417.6,0.027
2024-02-23 01:00:00,204.41,102.31,65.87,6067.26,431.97,245.38,175.61,34.57,272.29,15458.88,0.185,398.8,0.037
2024-02-23 00:00:00,235.16,131.28,77.21,6059.99,436.56,245.24,180.52,33.63,269.92,15160.07,0.165,404.4,0.039
2024-02-22 23:00:00,235.38,132.39,72.21,6054.91,436.48,245.22,180.47,33.58,268.66,15016.03,0.207,498.4,0.047
2024-02-22 22:00:00,222.03,123.85,70.12,6088.02,437.06,245.22,180.68,33.71,271.2,15381.95,0.228,420.3,0.027
2024-02-22 21:00:00,233.45,130.52,71.55,6094.04,436.12,245.55,179.68,33.92,271.71,15456.96,0.218,509,0.048
2024-02-22 20:00:00,232.22,133.54,76.7,6087.16,436.21,245.43,179.81,33.9,271.81,15466.43,0.201,414.4,0.041
2024-02-22 19:00:00,242.07,126.52,71.03,6075.07,435.29,245.32,178.87,33.98,272.1,15459.69,0.258,500.2,0.032
2024-02-22 18:00:00,231.01,118.44,69.38,6068.99,436.83,245.47,180.5,33.64,271.07,15325.82,0.18,460.3,0.047
2024-02-22 17:00:00,223.01,113.01,66.33,6062,435.07,245.28,178.78,33.94,271.86,15405.4,0.175,491.1,0.05
2024-02-22 16:00:00,220.21,109.33,66.54,6054.7,432.49,245.47,175.84,34.47,272.79,15486.51,0.248,504.9,0.04
2024-02-22 15:00:00,267.45,123.3,75.21,6066.87,432.62,245.53,176.18,34.39,273.51,15588.35,0.199,407,0.028
2024-02-22 14:00:00,258.38,128.93,73.06,6026.26,434.2,245.65,177.85,33.8,268.82,14955.58,0.196,482.2,0.042
2024-02-22 13:00:00,269.36,137.16,76.71,5938.13,434.8,245.33,178.94,33.19,265.48,14385.71,0.24,496.9,0.028
2024-02-22 12:00:00,275.24,133.46,76.25,6021.47,435.17,245.21,179.44,33.59,268.61,14929.31,0.219,430,0.037
2024-02-22 11:00:00,259.22,129.97,71.78,6062.65,434.4,245.43,178.05,34.08,271.97,15414.86,0.168,507.4,0.047
2024-02-22 10:00:00,227.09,124.33,68.55,6037.63,430.89,245.35,174.52,34.62,272.65,15409.43,0.209,411.8,0.026
2024-02-22 09:00:00,206.97,111.77,66.73,6015.21,431.08,245.34,174.93,34.42,271.78,15275.92,0.212,455.2,0.044
2024-02-22 08:00:00,193.26,96.57,63.81,6039.08,429.56,245.27,173.36,34.83,273.53,15525.11,0.225,503,0.026
2024-02-22 07:00:00,226.8,104.78,68,6054.68,433.24,245.01,177.24,34.23,271.53,15352.82,0.168,496.5,0.025
2024-02-22 06:00:00,248.19,103.9,67.22,6043.8,431.11,245.21,175.07,34.54,272.56,15408.21,0.16,427.4,0.04
2024-02-22 05:00:00,256.31,109.8,68.02,6009.37,433.02,245.13,177.33,33.96,268.63,14898.89,0.216,436,0.041
2024-02-22 04:00:00,281.32,123.2,74.69,6007.63,433.98,244.92,178.21,33.84,269.37,15000.25,0.242,442.1,0.047
2024-02-22 03:00:00,251.46,117.99,71.67,6002.26,432.37,245.38,176.26,34.06,270.95,15133.15,0.256,458.1,0.045
2024-02-22 02:00:00,255.96,113.5,71.38,5836.83,431.19,245.2,176.32,33.16,257.86,13353.36,0.209,501.8,0.033
